sample_id,iteration,seed,Percentage of cleaned cells
0,0,332835087023961394668098985747836215865,0.0
0,1,65868779443850914295669425870259794739,0.001
0,2,10411569585304078705351539019491793598,0.0005
0,3,67708380276669240725304059982006784865,0.0005
0,4,253184538716421245605458287977830198437,0.0015
0,5,131328937674006508744853104459247854989,0.0
0,6,303493704059707762992944442875145536758,0.0005
0,7,278446664966836059113480166616816939912,0.0
0,8,249047452436850312659883616547524167245,0.0
0,9,321942618715649269181230149830533841513,0.001
0,10,266640953347890550814528015042862135327,0.003
0,11,279819516014074702151792866110673928770,0.0005
0,12,59521654723973175674096829356759171836,0.001
0,13,279402366227668511136207881411590353164,0.0035
0,14,198190457571149258740409594605954823256,0.0
0,15,42753250868709077443456844117828463989,0.0005
0,16,44966488089952741937816172378812244146,0.0
0,17,274495278957724113427883217311242088679,0.0
0,18,235860486077737601837880517389757233952,0.0005
0,19,111330052854149802495647392180980247528,0.001
0,20,26384026340841848923069649022966753163,0.0
0,21,100883031505104223814590482917898588318,0.0
0,22,293551416867114696290265126213996581737,0.0005
0,23,270190845700485219473918286176130884072,0.0
0,24,131185183128106598286965241912581771050,0.0005
0,25,29664734804195773364270327589139998591,0.0
0,26,27833435754106457106422968054158166100,0.001
0,27,2862678703940761852257198535867752229,0.0005
0,28,72986917023191486203016691091148846183,0.003
0,29,135480746891712115719059208766660904948,0.0
0,30,7223197424888284467199873753516936612,0.0
0,31,254065516065102712059148911953235328831,0.002
0,32,5683688083959357710164501385875694334,0.003
0,33,286441560096914624666688538915889042574,0.0
0,34,74843600720652607612906394807910949877,0.001
0,35,268947561124438221065821275958855597038,0.0005
0,36,204448576087663362014783760222614847735,0.0
0,37,296523334519893559296828186029912033968,0.0
0,38,127790249686054980047368744369642899827,0.0025
0,39,134446920845358954958069725865183035758,0.0
1,0,305470485950085725539219334279617640577,0.0
1,1,54844834876978502846831941504327119902,0.0
1,2,171878742598127305511434559413704885515,0.0
1,3,4980913824000642125951609927332658570,0.0009358914365933552
1,4,29081223623715022385055124381863550027,0.0009358914365933552
1,5,326872931558932226622511482074754757114,0.0
