iteration,seed,Percentage of trash
0,44416811228007257091615146237859816288,0.45
1,10409958569129825335268816073572467872,0.34791666666666665
2,14491078083216740886912544866650670114,0.3229166666666667
3,139224949645372870012232762112694679881,0.41041666666666665
4,27098968614864909729628522375661991953,0.28958333333333336
5,39163725249498283295758161426883840321,0.3333333333333333
6,68192630874746877324987860759885860731,0.35625
7,182474852113686834527771080741984692235,0.2916666666666667
8,149229185565215775153410561712210528644,0.30833333333333335
9,54254949842229915990033823170159339459,0.41041666666666665
10,311649868998752331418715387169053203692,0.32708333333333334
11,128554279710652560516308111396501887571,0.24583333333333332
12,185379915217520075721508238874808195890,0.31666666666666665
13,22987256136615126979970260134232662143,0.36666666666666664
14,332253541863079329738455070749479962217,0.25833333333333336
15,335424430329507359437277150749408104149,0.325
16,108651984519295167819485661339576607727,0.2875
17,57354975157366628660432745255511963889,0.2833333333333333
18,288391478027288789227298044751865582274,0.24791666666666667
19,46520366643896411680067545212315502035,0.38125
20,197079178017954728650408384253335060498,0.29375
21,335244771311362247952180540197089377799,0.35208333333333336
22,67273699060147407816485348818204806751,0.35625
23,306261509347742043418111595104795714909,0.3541666666666667
24,188938572326730965192856179295407667315,0.4395833333333333
25,18739534131408049845180207024865216170,0.2875
26,283798479942918865815830676416956774786,0.2916666666666667
27,57898247316728778855658692235173572553,0.32916666666666666
28,155624386007926577217591192577521847224,0.34375
29,287262312553094538267565569727690583944,0.2625
30,452909635384779823339997282350818077,0.31666666666666665
31,48058455490999462927967933073094489750,0.4166666666666667
32,54907113660422370564401746898361105422,0.2875
33,312274187541922402590082892478568820216,0.2708333333333333
34,184995055906527671896742789574119350286,0.40625
35,271969900660240978879399235301422011173,0.3645833333333333
36,120428277996501411985280118645577449781,0.375
37,101784587087792719804756669501716575083,0.39375
38,248204791160659279953591918121861066616,0.32083333333333336
39,301850421495508027903874839659418041613,0.35208333333333336
